y,R_0,R_1,R_2,R_3,R_4,R_5
1.9254,2.05321,0.810962,0,2.05321,2.04399e-36,2.05321
1.93065,2.06281,0.804629,0,2.06281,2.01662e-36,2.06281
1.93572,2.06961,0.796033,0,2.06961,1.98431e-36,2.06961
1.9406,2.07262,0.784634,0,2.07262,1.94577e-36,2.07262
1.94531,2.0704,0.769714,0,2.0704,1.89929e-36,2.0704
1.94985,2.06089,0.750306,0,2.06089,1.84257e-36,2.06089
1.95422,2.04106,0.725106,0,2.04106,1.77254e-36,2.04106
1.95844,2.0065,0.692353,0,2.0065,1.68503e-36,2.0065
1.96251,1.95072,0.649684,0,1.95072,1.57451e-36,1.95072
1.96643,1.86437,0.593984,0,1.86437,1.43369e-36,1.86437
1.97021,1.73464,0.521367,0,1.73464,1.25352e-36,1.73464
1.97385,1.54584,0.427756,0,1.54584,1.02461e-36,1.54584
1.97736,1.28515,0.311692,0,1.28515,7.43934e-37,1.28515
1.98075,0.959966,0.184126,0,0.959966,4.37964e-37,0.959966
1.98402,0.622787,0.0806877,0,0.622787,1.91299e-37,0.622787
1.98716,0.348909,0.0274301,0,0.348909,6.48284e-38,0.348909
1.9902,0.168619,0.00811283,0,0.168619,1.91156e-38,0.168619
1.99312,0.0666136,0.0019761,0,0.0666136,4.64243e-39,0.0666136
1.99595,0.0176643,0.000292703,0,0.0176643,6.85701e-40,0.0176643
1.99867,0.00099468,4.25891e-06,0,0.00099468,9.94996e-42,0.00099468
